[144.89432263535838, 123.36701588430425]
[-11.866050653085015, 2.1082253396438375]
[-5.339777871117072, 0.22988936893512602]
[0.6956802610693238, 0.3949215363755325]
[-1.1614873289916954, 1.0310066162758824]
[-1.1209365602024872, 0.22868396736092222]
[-0.23216515923648018, -0.25296845765598697]
[-0.021004546240336097, -0.06546128194333845]
[-0.44746303778335195, 0.303888002784495]
[-0.26725493100468034, 0.20623376382098524]
[-0.04655709206552139, -0.04758557370308125]
[-0.09563572237779994, -0.09789703902630897]
[-0.20843708517008963, 0.04683004164811777]
[-0.07630070356831031, 0.1215926622633603]
[-0.016497116434745607, 0.057868592256498985]
[-0.1010692732003804, -0.04120633885920544]
[-0.12085068283742118, -0.026805687015644786]
[-0.009303589712509552, 0.048271985721388466]
[-0.01970227162533944, 0.05829616539790061]
[-0.08777623267160184, -0.0006618681893657552]
[-0.05343100898569553, -0.023041891814632898]
[0.0019957724612535976, 0.008815267282872519]
[-0.043519610141681264, 0.039152199547882294]
[-0.05735198609853717, 0.020775830811976093]
[-0.011134037750905712, -0.014945884861453762]
[-0.008516463504540717, -0.01186637343445951]
[-0.04670083554020965, 0.024066395808242547]
[-0.030242501992732485, 0.028130076184220476]
[-0.0025942321838452465, -0.001587292536853746]
[-0.01823975218018692, -0.014799593294204882]
[-0.03515926719303142, 0.0039499672438103595]
[-0.011698491073214079, 0.020801926774753288]
[-0.0036431104852100438, 0.013573903026246947]
[-0.02479106388695529, -0.006431740633230376]
[-0.024868353354038586, -0.007950553279886474]
[-0.0008086662910847808, 0.009556066962471244]
[-0.007428623802563039, 0.01606580474964414]
[-0.02461758103303502, 0.0019595492373434276]
[-0.012576454706223927, -0.007144782588540233]
[-7.526709252880792e-05, 0.0007928728353989722]
[-0.014957753448739175, 0.011620864469795489]
[-0.01738765683232127, 0.008291315116080167]
[-0.002313389802946375, -0.003816661923936704]
[-0.004541865948256341, -0.005188253418022426]
[-0.017272280814657426, 0.006877197546939051]
[-0.009644642419961102, 0.010856800216291873]
[-0.0004770573423302782, 0.0009511513572523222]
[-0.008490382911018557, -0.005609077512213734]
[-0.01366822214306862, 0.00024046932853405423]
[-0.0036826794163028476, 0.007830378951995287]
[-0.002131824206202282, 0.006552480708938657]
[-0.011369139864543465, -0.0017432832649488805]
[-0.009629602672106108, -0.004101378965742919]
[4.4315388699534e-05, 0.003122170979131811]
[-0.004418775743071479, 0.007527586598188418]
[-0.01133702462208197, 0.0019596915318751407]
[-0.004797564707478275, -0.003306346721772213]
[-0.0003971607923289877, -0.0004993005608475154]
