[-337.19283703935014, -1063.7061104106813]
[-6.854523336820602, -27.93739082225129]
[8.93813724785934, -10.488155304206202]
[-76.95551172240697, 50.69950145372977]
[-80.8187035841564, 31.993611168491906]
[-0.7671526253752494, -1.0407661401717725]
[-3.197518214621368, 11.352606177089989]
[-6.388661117446256, -7.519529755920117]
[-4.068719587202194, -7.657897698430266]
[-2.436929683279606, -4.801270524924508]
[0.23660173015584673, -3.97919278139396]
[-6.2372649710633485, 5.550661044496099]
[-5.762577720413132, -0.6860790973776902]
[1.5571771613900778, -1.1403532610218399]
[-1.8228487918341516, 5.532498200006623]
[-3.40324738997691, -2.2680484340697387]
[-1.9042923021027365, -2.3771278918235024]
[-2.2750397023226325, -2.4001228935492493]
[-0.36518416866282033, -2.653648773843331]
[-0.6065565859197368, 2.1129245468869327]
[-1.066992557503911, -0.7246909055541852]
[0.591794994164416, -0.35070961296987946]
[-0.3381069079063659, 2.8675191147413277]
[-1.183721256785987, -0.032117762468536704]
[-0.6626386633412014, 0.010094911331520517]
[-1.572304871172584, -1.2219042108717204]
[-0.5727900101377905, -1.1416948041922268]
[-0.32260442671588985, 0.4657782476841881]
[-0.356967248300772, -1.0805183015273552]
[0.09299471863123587, -0.3840985214787498]
[-0.3590666308654713, 1.3032507020055584]
[-0.22728883599192673, 0.5126578900864702]
[-0.03484838762426623, 0.4193965650419691]
[-0.897573839786274, -0.5994333840179094]
[-0.4385257200589323, -0.27397478369838524]
[-0.3134416954487873, -0.1219917215158981]
[-0.16623856741779752, -0.8227689278970121]
[-0.2943742089131809, -0.40864240253260053]
[-0.3966712690408536, 0.3218623178334128]
[0.18044062097146307, 0.508673322259118]
[0.1584955243612911, 0.422624031799129]
[-0.4342841278623648, -0.3245962357861032]
[-0.29306547245578285, -0.05258559798332518]
[-0.27618277427240223, -0.3790033177403793]
[-0.15714528894776691, -0.49973667464192983]
[-0.5135918319370745, -0.26098243186377346]
[-0.22253636815541578, -0.10884194204419506]
[0.2766640887467785, 0.10947396358315498]
[-0.06858255514929112, 0.187312265365847]
[-0.1453485344604829, 0.04053543552877947]
[-0.1244072921217576, 0.1905105082519225]
[-0.181779189647295, -0.4241142824938233]
[-0.04925770777884564, -0.35596353743777565]
[-0.48847907530028545, -0.13044362601874937]
[-0.1771088125181577, -0.11422004344945158]
[0.14286985189050283, -0.010506337086241047]
[0.018225957296436945, 0.08740017471999106]
[-0.07660984678968419, 0.035342603169248754]
[-0.23537763517187082, 0.040010443734890266]
[0.022465739025450238, -0.16095026496160258]
[0.08437629236218136, 0.030789587443668776]
[-0.48394124708773995, -0.1976617885599996]
[-0.043364393662392864, -0.29440914912087246]
[0.07155763130666087, -0.02584177199751192]
[-0.09636724758701343, 0.17850261178405358]
[-0.095325823264797, 0.04628624881009902]
[-0.08033678509180353, -0.06973545083809052]
[0.14036092590733207, -0.10975672384612789]
[-0.09007361141557624, 0.09885801983505083]
[-0.3319643475238696, -0.10979719670109578]
[0.1430152627087189, -0.12470036188172129]
[-0.09188848323205992, -0.11217720884888394]
[-0.1284443368882937, -0.013464254460747949]
[-0.0691096427224909, 0.08855060979276441]
[-0.05118777507868799, 0.006800860493830996]
[0.1628550371599609, -0.14752385357696518]
[-0.13045721023598933, 0.03683574483178109]
[-0.21736833819554713, -0.03135058599850904]
[0.13187189369563157, -0.026263588871662247]
[-0.13347558703937695, -0.14822722635793806]
[-0.06160105235339097, -0.04979653117438154]
[-0.059071515271710166, 0.10699258060446315]
[-0.052115191437779096, -0.01171232923070864]
[0.07942112162263727, -0.15228160147718395]
[-0.1007979331709068, 0.014536297497637296]
[-0.007222848216549754, -0.053323671929167205]
[0.005945738935583034, 0.031349093537118566]
[-0.25924615809512364, -0.03151121615613661]
[0.11157916479565833, -0.038180810329625725]
[0.03793679276373446, -0.030354612263002068]
[-0.14976389810572277, -0.06837268628136561]
[-0.03695672972371733, -0.003724998104325472]
[0.007453072429027596, 0.05056366093541076]
[0.08189433054730483, -0.1488119763864031]
[-0.0698956772050292, -0.021491696545003602]
[-0.18969703744367616, 0.0029497197846160006]
[0.07129947776102696, 0.05779321912104818]
[-0.036614079155116996, 0.012106564979073475]
[-0.0036808004362889335, -0.08886341099549555]
[-0.030066031221800626, -0.0660060836340195]
[-0.10725385226347806, -0.025500274383935206]
[0.09241048431486154, -0.030929136549066705]
[0.03454083728796853, 0.06685398780866603]
[-0.1425331777497234, -0.0975626688352893]
[-0.015369362652915441, -0.00761684223098702]
[-0.04057159016200651, 0.037242212308671974]
[0.021024130248610273, 0.0003893432153536658]
[-0.0567215591089999, 0.003158268811503717]
[-0.03110950547612834, -0.06853034577531969]
[0.06750305789442779, -0.10942283011938336]
[-0.03894957848335645, -0.006676545948752333]
[-0.03989865959600536, -0.00986283510026631]
[0.016923051805995737, 0.10323944416900499]
[-0.10185327210853778, -0.0638926052362665]
[0.0011758271988711044, -0.06978213608388995]
[-0.01115861333361634, 0.06992908344228876]
[-0.023033196189857552, -0.0016558514698421511]
[0.021766963845954224, -0.102902364594605]
[0.00013494793829949003, -0.056894971776331404]
[-0.018509360495214455, -0.03241011612045508]
[-0.02934074762610539, 0.05425904593147912]
[-0.039933216761344426, -0.05018925670798069]
[0.00691162069695217, 0.03216536811919335]
[-0.06398803407625242, 0.04158766954841786]
[-0.0008914061993618994, -0.06744838626194594]
[0.03333497613635927, -0.06209095477341364]
[-0.012665106175000052, -0.01973023902597726]
[-0.013127480462111318, -0.0368922546835857]
[-0.008837655978235937, 0.007417686058695194]
[-0.027035280950943985, -0.05251221182299082]
[-0.019816461929575535, 0.034715018070846426]
[-0.04214600582854078, 0.02024640608176842]
[0.00971012364053081, -0.01250943009530836]
[0.004866445219451343, -0.028442593795884985]
[-0.00015523005882656093, -0.059971970369437466]
[-0.020682206225411504, -0.016600876515271423]
[0.01600944835374607, 0.017582905186908304]
[0.021730311987947504, -0.0970169257245499]
[-0.0692250916041357, 0.004977847341190222]
[-0.07714367993543836, 0.07062474763023019]
[0.059027955660852616, 0.033232949376096]
[0.02592962989287728, -0.09138030993841095]
[-0.047999055114630984, -0.08288544646786855]
[-0.023932552139470875, 0.06553617508097043]
[0.06830967052540426, 0.03500234325717344]
[-0.0020753584224462163, -0.13208938059666586]
[-0.07139781720386074, -0.028041995463288227]
[-0.01307342108147913, 0.03720326772975158]
[-0.0025974208010808297, 0.04525252525222745]
[-0.035370539135612944, -0.009902393937158305]
[0.03590457653244572, -0.03717328154009958]
[0.017724297564340796, -0.04022558369306806]
[-0.015104152884084066, -0.037583393451962155]
[-0.021886204770784845, 0.005700529363329654]
[0.023356399406992523, 0.04390733075973097]
[-0.005303556109852003, -0.08559359078894602]
[-0.06717847077720629, -0.036399918314394375]
[-0.017705763382523054, 0.05395251016824876]
[0.03438192611785951, 0.0370704119622563]
[-0.0028671648236691105, -0.050024488319403204]
[0.017423539587340997, -0.05962284320227479]
[-0.012916651436965854, -0.000802243368591693]
[-0.005926526829270529, 0.014636431303331254]
[0.007836666364079647, -0.05183813615684407]
[-0.02114903487761355, 0.004194704158013152]
[-0.027864934298934108, 0.002267552107393378]
[-0.017850087037400098, -0.003946360597169518]
[0.002042641058161321, -0.01196366622330558]
[0.035205846038425914, -0.014184778246403518]
[-0.006611578712995447, -0.001466777850368306]
[0.002861432050407231, -0.008791192138636134]
[-0.008072329211186835, -0.05143410819183103]
[-0.01419068853896377, -0.014000786557959555]
[-0.00044436675323611396, -0.002230078439898975]
[-0.02423327060975833, 0.02630413688162718]
[-0.021109707259944877, -0.015330171491940714]
[0.01849510124567333, -0.033547293884500944]
[0.0045864569751334905, 0.012442000325855851]
[0.019777916003103524, 0.010600283375240424]
[-0.0018969553778034332, -0.04856020612363787]
[-0.012629197437671102, -0.02741031614564307]
[-0.015748285465805978, -0.00248636114236378]
[-0.011983268433288341, 0.015846058098459334]
[-0.0012332348118833103, -0.028143544775950158]
[-0.00735469867095917, -0.008419665002581483]
[-0.0055272728348949585, 0.02219870290691839]
[0.02406654851998269, -0.005276302491468987]
[-0.0062095954010490395, -0.03387649595755171]
[0.007627570601725697, -0.014966622379898514]
[0.006875936826118867, -0.021801025337769175]
[-0.03063149549161892, -0.0031963282412180716]
[-0.02671325268480773, -0.007672946193512775]
[0.01443345140757879, 0.0035456116371767044]
[0.017155391716700663, -0.01170291141501334]
[-0.017354295508889894, -0.004170476046228888]
[-0.015201695473439969, 0.005164806473096473]
[0.03964219487585963, -0.014851646761704418]
[0.007873792658006806, -0.031209796317428484]
[-0.029357406689530574, -0.0025731625496380195]
[-0.015728416115736277, -0.02447958694825081]
[-0.0017666288051412238, -0.012944505163603126]
[0.0011833595190555712, 0.01799646955693346]
[-0.0019067610817811165, 0.02083558650426587]
[-0.000892145223907459, -0.0325588402280359]
[0.010376471403130694, -0.03733208715755576]
[0.007418419706273216, 0.017502447779690122]
[0.009530696616204537, 0.018857134741355308]
