[589.2952530389119, -1157.4303172735702]
[40.2989835753159, 31.36311099607964]
[-15.160683958162924, -13.523415516956803]
[-18.583823429111618, -35.02582223143306]
[-5.115308158603822, 16.363632323300436]
[0.5669528819696268, -18.267332066756865]
[5.326348882307933, 16.61264730495718]
[11.899302149304901, -7.4788936126533425]
[3.7807023297984585, 8.48928342935956]
[4.693268668153152, 0.2939513695134366]
[0.23550762913619394, 0.49004425525951945]
[-3.440461017636757, 0.9716319858486671]
[-1.5333008292472243, 2.9601295606254183]
[-6.288636792769047, -3.742092479527777]
[-3.544273956878726, 5.083383130374597]
[-1.9420294995014729, -7.066475616626391]
[-1.8224337229327219, 7.000464188573943]
[1.1847251296654502, -7.333556067996426]
[1.5956541541058549, 6.260872225259693]
[2.7964594384813766, -3.3863673411030213]
[3.548366267865749, 3.4236927759435503]
[1.8984626841300658, -0.4211941051244459]
[1.628726013148384, 0.7637807500663261]
[-1.0268041260997904, -0.2850000892223177]
[-1.2415264322271624, 0.002806467950374092]
[-2.355891282530356, -2.37600792319547]
[-2.052816433569141, 2.5638763852583324]
[-1.186279401246967, -4.104905113956955]
[-0.6296349608287795, 4.127872773847486]
[1.5881870652046146, -3.531265929660817]
[1.2473031212229966, 3.382457788461103]
[1.9613970989211964, -1.461382636602639]
[1.6017527754954841, 1.333373176806166]
[0.25455650532493834, 0.21048572114370323]
[0.3975224453856683, 0.23530839200233444]
[-1.413175601698537, -0.4088092255803719]
[-1.2212359452377726, 0.9367279627317897]
[-1.6510039276462667, -2.186300169803655]
[-1.3654857692582638, 2.1358756829654957]
[-0.279296267431393, -3.1631653972912144]
[-0.07746981140191345, 3.0460610192865953]
[1.0128974697150404, -2.354446966088716]
[1.2812459001432153, 2.3574167200688407]
[1.3599076716237242, -0.813808718795733]
[1.3069730166198519, 0.798655804139317]
[0.13243210072571576, -0.049701002362596336]
[0.0586184329438644, -0.04311259716723642]
[-1.1572944023750869, -0.5636038473851639]
[-1.0072660201681258, 0.6506082607341375]
[-1.058929360631038, -1.838860424012568]
[-0.9527278019332729, 1.9793480274012243]
[0.12385894653310103, -2.3397768028183035]
[0.20286503396736144, 2.2334726034593118]
[1.111882909475348, -1.5585575505099265]
[1.0358608161113239, 1.432646226152288]
[0.7425285966740667, -0.25909388403897404]
[0.7434592675880172, 0.3952415840445944]
[-0.29852372447808584, 0.05573521218643496]
[-0.2857592035647851, 0.1503818068973617]
[-1.0479918927365617, -0.8079782243789282]
[-0.9509311378932903, 0.8489082337463087]
[-0.7344806074374759, -1.7382945753883554]
[-0.5278694648334241, 1.7338144184736635]
[0.2981347697268193, -1.865957008628354]
[0.3889564367439524, 1.880947891642414]
[0.9157188961102974, -1.0523325558938312]
[0.9651359425773194, 1.0092310923062158]
[0.5493752140194288, -0.20997460484955877]
[0.5312310097355779, 0.1222243627063817]
[-0.43229211156923264, -0.061900894097096204]
[-0.3967179369517415, 0.12110097461372327]
[-0.8607602116540369, -0.8073938228393089]
[-0.8073668949756975, 0.9059209419962189]
[-0.37842312710270853, -1.5864102692099444]
[-0.31913823082445014, 1.547095169490607]
[0.46439551519924116, -1.4513434880796023]
[0.5338520054723546, 1.3820722469610587]
[0.7671617162983608, -0.6290276269540042]
[0.7295352624195672, 0.6441294875883008]
[0.2194293053565861, 0.02056512986949466]
[0.20114194832424914, 0.07454564337908565]
[-0.5503482975823735, -0.2209017508501745]
[-0.5011876586383259, 0.2563066974186534]
[-0.7572780976574967, -0.9293245814786939]
[-0.6444102847327233, 0.9686379296205903]
[-0.17083064479435128, -1.3966315763529398]
[-0.08258988936988931, 1.4276785801724143]
[0.5268317970043939, -1.1665469126742556]
[0.5662627419734907, 1.1145645557447055]
[0.6217958676768618, -0.4310776807523746]
[0.6642254993425074, 0.3808347248065489]
[0.049128537081376406, 0.0028115843784009276]
[0.04352304155740404, 0.0017593203730564833]
[-0.5561352880217634, -0.26811193981447556]
[-0.5492245859495806, 0.33922943528854654]
[-0.559800342445234, -0.9754047437568261]
[-0.49695905185701195, 0.9756564204810569]
[0.01897909515856977, -1.2515236386248292]
