[571.4768527983149, 107.25452668931733]
[-21.2919370729197, -18.260873054626124]
[-12.555185893293933, -6.141315337294712]
[1.357424515961415, -0.9580820219284607]
[0.9574326085652967, -4.064729897317253]
[-1.1232835066418794, -1.434386371469524]
[-2.4818250115236964, -0.29397477025158264]
[-0.6991066899957445, 0.26772739059157735]
[0.04272297588887142, -0.5499028088969036]
[-0.30832095219358013, -1.0936297369167578]
[-0.2923884004443833, -0.023765933738096497]
[-0.1252458625326085, 0.0734475826656531]
[-0.2141131330831163, -0.574249034798666]
[-0.05567218347114267, -0.2685455154962235]
[-0.22972331192465756, 0.12776878944279096]
[-0.35332752987324323, -0.06901340968869007]
[-0.08550098056981081, -0.1893024188040297]
[0.0914630910980101, -0.2584796945132264]
[-0.008423904978916319, -0.03890867208251758]
[-0.14776575333833009, -0.028567446379684558]
[-0.17903518355375425, -0.13106204799646393]
[-0.004195984514720585, -0.04606601377640862]
[-0.0012140701853651237, 0.024652820732823377]
[-0.15289253784642032, -0.1447776403463088]
[-0.0694462468199264, -0.056578130684809325]
[0.05727987247565647, -0.03094831655225727]
[-0.00501684911597966, -0.05797989032772222]
[-0.07523456238813742, -0.0711809818904805]
[-0.08889982975415034, -0.003878543483351482]
[-0.03805131646194848, 0.00015825065540386873]
[0.009323867348880022, -0.02453748074031692]
[-0.02880827387422924, -0.11897401173676148]
[-0.033054667475700406, -0.012807137169748462]
[-0.008515517220166746, 0.014183898202496437]
[-0.025617826422490886, -0.040949140949051444]
[-0.01726318012832495, -0.05622362151452398]
[-0.025131243385875024, 0.01636487752652327]
[-0.05420185999380234, -0.016282306005601654]
[-0.0078401221798714, -0.026839041508946115]
[0.02214725738671497, -0.059188176625490474]
[-0.011859934195426192, -0.0074225888686823005]
[-0.03629768398369082, -0.004317697504634399]
[-0.02801943707145771, -0.014006469919285669]
[0.0017588981427074657, -0.023759907881760522]
[0.00031218331205185024, 0.0037636871285551265]
[-0.03897661591625878, -0.039274013028141486]
[-0.013439883006297393, -0.013862587015302186]
[0.020080054899032973, -0.011866436581223994]
[-0.00781777459294597, -0.00924680425996982]
[-0.027297216548725967, -0.025615566953077096]
[-0.015593232960008585, 0.001992836634625128]
[-0.006287203511005313, -0.004537753425454483]
[0.0012899717564218705, -0.006959731365427935]
[-0.01053282933642219, -0.04252497966388136]
[-0.009111675461688673, -0.0050512342321478165]
[-0.0015611292040573765, 0.004347695626895298]
[-0.009444763690485303, -0.00601558646767808]
[-0.006840271701266332, -0.027030943473401958]
[-0.00293323511259036, 0.0032883046371274816]
[-0.01771663402870205, -0.005880151550094581]
[-0.0036455480322414857, -0.007357535088326372]
[0.008855267683565149, -0.026873458664023797]
[-0.004657143287802423, -0.003363908030604712]
[-0.015425765151115822, -0.002735284612170208]
[-0.007663838886014851, 6.084353421487165e-05]
[0.003724181187827469, -0.014164044925095265]
[0.0014333690571701752, -0.0018858398758188066]
[-0.017476418592476728, -0.01647357077818823]
[-0.004561364791795697, -0.0030583805415154153]
[0.01035081670767024, -0.007880790267151383]
[-0.004059107772321546, -0.003461670983173626]
[-0.013139194143153121, -0.01394419647051759]
[-0.0021526375203415604, 0.0028711457305230503]
[0.000248067586922307, -0.0027478853871509834]
[-0.0007680115722341618, -0.00464422846224366]
[-0.006635500525395299, -0.02176876042571463]
[-0.0018874558027595079, -0.000800094972791765]
[0.0007710443456161453, 0.0010507895273734746]
[-0.004719268987151359, -0.0014433530241513282]
[-0.002817140404989038, -0.016065538286718972]
[0.002224884719466136, 0.0007331712680773705]
[-0.007896225833285975, -0.0018059671194863292]
[-0.003214613667275934, -0.0027365499461913245]
[0.004250250261586874, -0.016586289557687373]
[-2.7593329427810787e-05, -0.0017343821765956058]
[-0.007399109313971475, -0.0016594471822957146]
[-0.003247767922318845, 0.0016204423637535825]
[0.003681433417383251, -0.009217908944965103]
[0.002276147184335775, -0.002837135683074976]
[-0.010364892036959228, -0.0082816347906296]
[-0.0023056048470719848, 0.00035992617453750597]
[0.006994276385708931, -0.0064964676712686575]
[-0.0008523623059233376, -0.0028265929444502014]
[-0.007398821321691562, -0.008154402475530897]
[0.00022453136404987362, 0.0026317948324887652]
[0.0018709028080147183, -0.0017931026968009967]
[-0.0004871511658848249, -0.0038078900788836023]
[-0.005088928502088863, -0.01332805804281012]
[0.000534563648841635, 0.000973117884534247]
[0.002198090766071248, -4.1561355142771816e-05]
[-0.0024331978229541473, -0.0017196966093400157]
[-0.0017656220688280766, -0.010361698991106838]
[0.0028361463647956775, 0.0006926190590572645]
[-0.003817932446483749, -0.00042853846414647734]
[-0.0023032227938054595, -0.0016995654394675874]
[0.0022087071978465957, -0.011707112133289677]
[0.0019684360519568456, -0.0009369944509400874]
[-0.00350687877955283, -0.0005833132591410717]
[-0.002187312058045787, 0.0007251570960038478]
[0.0027077422252497485, -0.00678313810713993]
[0.0026034169883962788, -0.0020361632009562314]
[-0.00654053939195548, -0.004500162375832062]
[-0.0013140620195832842, 0.0007524723032270586]
[0.005149235258248119, -0.00553744407400103]
[0.0007913527674220378, -0.0026500820072619113]
[-0.0047052200748525785, -0.004719525166819949]
[6.46209764656458e-05, 0.0019947482423434693]
[0.0021978616728068334, -0.001838712350261229]
[0.00045724354358811503, -0.002934556405592037]
[-0.003891683005535551, -0.008528538297220667]
[0.0010317217642008547, 0.0010219796844204154]
[0.002612305174159779, -0.0005918980936754359]
[-0.0012095937055918715, -0.0021380163979172195]
[-0.0015744833414049753, -0.007006575560834616]
[0.002235817360310123, 0.000946666284292963]
[-0.0014692993704822355, -0.00022457085207339134]
[-0.0010857593899233561, -0.0016068259552177722]
[0.0009607385142627045, -0.00835103926057501]
[0.0021308580945023914, -0.0007033786243941798]
[-0.0014933646136084944, -0.0002212004295163439]
[-0.0016581405908266678, -7.125461246904052e-05]
[0.001766944175557561, -0.005326663646972207]
[0.002482250794608204, -0.0011425629683312621]
[-0.00390191269782747, -0.002467203139041807]
[-0.0006563750426220594, 0.00011848466533859181]
[0.003481798864405583, -0.004628375244695615]
[0.0011012545458032874, -0.0022240352137341546]
[-0.0029567448436840227, -0.002906468307564136]
[-0.00014675380785522663, 0.0013240320721830123]
[0.0020558303747584272, -0.0019517794387970966]
[0.0010531568811424363, -0.0022099633819552267]
[-0.002842054831877494, -0.005374737449873379]
[0.0008429523997735555, 0.0004159289740446326]
[0.002256805605465706, -0.00112038133722403]
[-0.0006143294120867226, -0.0019279467004413853]
[-0.0011646462266992064, -0.0048357522572519684]
[0.001662903846623598, 0.0007973685492439486]
[-0.0002521772411760992, -0.0003224825260861319]
[-0.00029370409835483, -0.0015776278864725324]
[0.00018859667545023662, -0.005846206286594269]
[0.0015855943425523433, -0.0007051967034812368]
[-0.00042799184270170265, -0.0004925614800499467]
[-0.0011085303953112247, -0.00033851292668463095]
[0.001232951641657376, -0.0040056313527805365]
[0.0020570039176800448, -0.0008149717826673175]
[-0.0022637181694373787, -0.0014743703453190538]
[-0.00030204427216506957, -0.00036177178868368465]
[0.00214990685905625, -0.0037584129193031224]
[0.0008633905989305912, -0.0017463095603875711]
[-0.0015895859268724166, -0.002096324769801816]
[-3.097585440114958e-05, 0.0007680021093583456]
[0.001649003514047953, -0.0016806142613350339]
[0.0009991509651523511, -0.0017777078983571837]
[-0.0019709876985662955, -0.0035427868966344533]
[0.000629209927735519, -7.771011163448804e-07]
[0.0016879667858034075, -0.0014147347214343853]
[-0.000362889001334854, -0.0015290238292222647]
[-0.0005315868317432582, -0.003383188205444254]
[0.0013044397512645967, 0.00037772364139598835]
[7.985628428075486e-05, -0.00039467771376588967]
[-0.00013044032335007838, -0.001352785310469784]
[-2.2267744475001905e-05, -0.004171328544444464]
[0.0011800111420874337, -0.0007153080920412336]
[4.024092648391431e-05, -0.0008009651852343147]
[-0.0007264811589972053, -0.00038300536044832967]
[0.0010351613886039335, -0.002828026431398456]
[0.00152853658594021, -0.0008455397875661852]
[-0.0014386846371088335, -0.0011416480220335368]
[-0.0001912452897608885, -0.00035929962874803323]
[0.0014546848567658088, -0.0029107619362310766]
[0.0006690705622940385, -0.001489938416205372]
[-0.0007549042061081312, -0.0017378390806368493]
[4.989374588004747e-05, 0.0004144857815895353]
[0.001255578588386208, -0.0012154513256991129]
[0.0006295712068619119, -0.0015085595207803282]
[-0.0012916997653487083, -0.0026645307051604283]
[0.000586366700894958, -4.1290107633207285e-05]
[0.0012497891624908553, -0.001267474722090045]
[-0.0003043530183602927, -0.0013551956610973193]
[-5.645153591993246e-05, -0.002548609784796485]
[0.001009176909161913, 0.00010925105404013813]
[7.103953239173677e-05, -0.00035164218828848126]
[-0.0002516208999443492, -0.001042670725127759]
[0.00014545173219937535, -0.0031454901115923195]
[0.0010791973351632622, -0.0006771201315364239]
[8.944978561076233e-05, -0.0007998338742748468]
[-0.0006703257743403412, -0.0004380498991285453]
[0.0010259807116979047, -0.002089860101009755]
[0.0011264950170061239, -0.0008067433099754329]
[-0.0010410808873785315, -0.0009809877124007105]
[-0.00019330432893338578, -0.00016791915840619343]
[0.0012411890167375317, -0.0021624985962990506]
[0.0006198539103149381, -0.0014168836857623712]
[-0.0004877307172705958, -0.0015223396941996536]
[-9.734990036336377e-05, 0.0002918696377478547]
[0.0011341795654267184, -0.0008521482983747664]
[0.0003928763447625938, -0.0012734078906654345]
[-0.0008703446095487122, -0.002162207095704874]
[0.0005618041616108904, 6.054433398644532e-05]
[0.0010020499489578616, -0.0008827199419962073]
[-0.00032247901145199265, -0.0013463408163642276]
[0.00011578616731044988, -0.0021772167323771408]
[0.0007270784610751146, 0.00014470782576411767]
[0.0001634864228288735, -0.00017187579897246646]
[-0.0003067300750984048, -0.0008498518288177215]
[0.0002871124603636144, -0.0024994637408699075]
[0.0010198811987751633, -0.0005670934791749266]
[-1.0737102196789472e-06, -0.0005849798107755086]
[-0.0007618446454660255, -0.000493543064981089]
[0.001074125360563477, -0.0017843783246605746]
[0.0009283141174613874, -0.0005896204144286016]
[-0.0007841926478593386, -0.0006729298153503962]
[-0.00024114885771775452, -0.00010160846304970578]
[0.0011447198137493342, -0.0016677888069274753]
[0.0005987939567369538, -0.0012803516211434898]
[-0.0004784305064522709, -0.0012955247809974839]
[-0.0003020484131859985, 0.00028192857891869497]
[0.0012287387407675376, -0.0006663801421204494]
[0.0003812852208299189, -0.0010531885569960587]
[-0.0007172062781942469, -0.0016732140984418381]
[0.00040804010080638595, 0.0001216396332721359]
[0.0009045195514251619, -0.0006068249902189079]
[-0.0002791109408111711, -0.0012556278332407481]
[0.00010111098753469439, -0.0019369513421518617]
[0.0004978658457778576, 0.0002724515518447469]
[0.0003879394742161285, 4.6951844596496844e-05]
[-0.00024661998350263004, -0.0007825124560712398]
[0.00020876898096505725, -0.0020429581453128426]
[0.0008417618307219876, -0.000374116082740056]
[2.594554643509106e-05, -0.0003668026167587615]
[-0.0007263507460492646, -0.0005029289450757465]
[0.0010321647231908704, -0.0016242847378600475]
[0.000803363450057909, -0.0003571486025994281]
[-0.0005561106885947631, -0.00028610735796455455]
[-0.0002899282750609966, -0.00014633352036873444]
[0.0009804822769950983, -0.0014300930028179615]
[0.0005608867162027464, -0.0009862896041787847]
[-0.0004221633768540789, -0.000990187709746973]
[-0.0003667170074980741, 0.00022056476627169835]
[0.001265477076308863, -0.0005983888534727977]
[0.00039807897618032717, -0.0008419179766728166]
[-0.0006703107601356284, -0.0011830391270566953]
[0.00021415896412135815, 0.00014240958440688012]
[0.000875584727420442, -0.0005287444960800358]
[-0.00013181414718294038, -0.0010334552700735772]
[3.351709793203428e-05, -0.001592292620068575]
[0.0003283104370722101, 0.0002725945128417562]
[0.0005637337333395109, 0.00013994490088423128]
[-0.00017183593836672673, -0.000684511531880927]
[4.658800696222265e-05, -0.00164939937300701]
[0.0006462546147038561, -0.00017820319535444273]
[0.00016842107605058443, -0.00022928175314929078]
[-0.0005291464522600986, -0.00048041205162374645]
[0.0008388745523030261, -0.0014062236164393838]
[0.0006260617264751689, -0.00022869917646631266]
[-0.0003250615489877595, -4.2674452405966345e-05]
[-0.0002689917918375917, -0.00013843534594593088]
[0.0007694949177425858, -0.0012548397921818277]
[0.0005274532997313619, -0.0006902408448886954]
[-0.00028639314371536884, -0.0006714780647400498]
[-0.0002989529121272261, 9.431718424404711e-05]
[0.0011111506254747328, -0.000580592537453628]
[0.00032146502003660427, -0.0006293598710839232]
[-0.0005447514644595364, -0.000793463240848391]
[0.00014946323746345413, 0.0001580539983380702]
[0.0007944425449410986, -0.0004977535167322578]
[1.3364015986838673e-05, -0.0008127403458418336]
[-2.1011156948080867e-05, -0.0011979148017786656]
[0.00021767259627425428, 0.00017028576025146513]
[0.000601325053977031, 7.554195210912606e-05]
[-0.00012508938014421656, -0.0004971668716327593]
[-1.9788887010374623e-05, -0.0012511501860091867]
[0.0005587878074871933, -8.7372913149808e-05]
[0.00024165583890434217, -0.00016446883025822423]
[-0.00033888509015700397, -0.0004349169281988585]
[0.0006038640067911327, -0.0011454410798321657]
[0.0004493812590400381, -0.00018400495602183264]
[-0.00011845404230848011, 8.35662844411722e-06]
[-0.0001703170118855235, -4.944849269877816e-05]
[0.0005732383854979428, -0.0009919081568636745]
[0.0004974288376576874, -0.000544012131362348]
[-0.0001881225996350766, -0.0004732013789331413]
[-0.00020429637042684856, 1.9218962080902458e-05]
[0.0008801219933163296, -0.0005448936140595162]
[0.0002256552159733971, -0.00046628981681895443]
[-0.0003459436549354544, -0.0005413596832936074]
[0.00021178269017763096, 0.00016569983981928882]
[0.0006103460074336486, -0.0003992855217906932]
[6.134589437123417e-05, -0.0006814055175728972]
[-3.2611067762811086e-05, -0.0009242629116016365]
[0.00019354266356264027, 0.00010231873123200952]
[0.0005401762999275306, -6.356689969733154e-06]
[-9.643596934416632e-05, -0.00033854433667646067]
[1.135199991697533e-05, -0.0008943765666324932]
[0.0005572559187930759, -9.004905651999184e-05]
[0.00016252386961218557, -0.0001418581620348247]
[-0.00025485234795952216, -0.0003648407649702312]
[0.00046928182089234216, -0.0009276568914172723]
[0.00038759116293096696, -0.0001768221271324366]
[-1.3990150512566135e-05, -7.953052989950748e-06]
[-8.963805156658733e-05, 2.19824016205461e-05]
[0.00043019600524168977, -0.000701294851544243]
[0.0004714883743881515, -0.000508160704477123]
