[111.40299996879372, 111.39959361944312]
[-21.934249544002128, 9.2369690015716]
[-10.84770755191691, 5.0900578844612845]
[0.3271407161929858, -0.07257928716150097]
[-0.30626338027899713, 0.1867683326198044]
[-2.4300505278809874, 0.36898491083010043]
[-1.3034707878450664, -0.1767228536191887]
[0.45468599118377107, 0.059628188878937394]
[-0.5808819011723614, 0.5016683753855684]
[-0.7250899984251458, 0.3631054059466212]
[-0.32899508838780633, 0.011372111282474506]
[0.01014167776506536, 0.09954895046966938]
[-0.1642481190455749, 0.26185701677588913]
[-0.36120290935577604, 0.14221125756738773]
[-0.16847731963782997, -0.07496213199252288]
[-0.05372945217697778, 0.0012723299002552757]
[-0.13931870697708554, 0.11330734198443881]
[-0.1374260146226306, 0.13165648863144797]
[-0.10684519218592603, 0.026520776391535494]
[-0.10217206957729857, -0.01797865359552886]
[-0.07366786547754789, 0.03716811089922656]
[-0.07949221072307508, 0.07056317702260162]
[-0.06248640346804968, 0.025028246391315845]
[-0.061480930497474606, -0.030011666732207676]
[-0.08482957303534011, 0.013781873277499801]
[-0.026659047078706477, 0.06621409574096626]
[-0.02976486799108846, 0.04309373599990596]
[-0.06566514102259324, -0.005740536396601215]
[-0.05135178346913705, 0.007161688584952364]
[-0.022824236605127446, 0.03293678028389879]
[-0.025792461829724278, 0.016463960494244034]
[-0.043126250199613025, 0.003349538817487896]
[-0.044181359145438415, 0.011200491690951164]
[-0.012768496698674525, 0.028522905087837058]
[-0.024092981607859807, 0.017759015325462535]
[-0.05045618591022327, 0.010393622040297146]
[-0.02101857493137327, 0.004869665132183232]
[-0.0129140705253903, 0.00627465285913785]
[-0.031756203254910714, 0.010381149754635055]
[-0.029790224398954346, 0.009359577664434515]
[-0.018372320328757463, 0.006301437537772792]
[-0.009695483329561466, 0.008685383610000263]
[-0.022545607442367555, 0.01619667740831665]
[-0.030105600945308897, 0.00950507895161623]
[-0.012025916917502988, 0.000559512315858629]
[-0.007555269511196672, -0.0002778030422396771]
[-0.020611907310358335, 0.010391511532651387]
[-0.015656093355877587, 0.011846055605424066]
