[-249.28870290994456, 262.8689272807609]
[29.99511056554256, -63.89717677091176]
[-0.07746088412727481, -32.74888430062262]
[-3.5612690760880312, -1.8764711379855108]
[0.2908341993881116, 2.996081165898328]
[8.96990037211739, -3.7664064549792724]
[-0.3985980830995146, -0.9907841716036749]
[0.010747250127899122, -2.926883262315113]
[1.3490546257335188, 0.4192346422811575]
[2.6288915562187043, 1.2198680260646153]
[0.4155441898067407, -1.9389118248063149]
[-1.6243084390008873, -2.0013916315250864]
[-2.350329607512128, 3.2903013149177074]
[1.010159295773608, 0.32977633246900595]
[1.3174604628918765, -0.9064172618957933]
[1.0500344002665867, 1.4549104790393255]
[0.7225013998612226, -0.8370008127034811]
[1.022284528360149, 0.424233248746841]
[1.1986353266172642, -1.6111080158073217]
[0.5732263832832498, 0.16588799136404253]
[0.6139368555276024, -0.44178221566389164]
[-0.7399862398871746, 0.10998706810797942]
[0.24703907810976866, -0.35290662590678945]
[-0.26934368404948916, -1.2526320121848324]
[0.2281726451895122, -0.29299361438515625]
[1.2743308985011539, -0.06348522820591174]
[-0.6766124277455043, -0.26592719652993746]
[0.13556009127259339, -0.6632179905953955]
[-0.12116211863356918, 0.09583932955809926]
[-0.029144524695733587, -0.2424150169331455]
[0.15715220200534108, -0.39524779693556145]
[-0.41023193496755983, -0.3056453093969622]
[0.5784112874497065, 0.6813252837700556]
[-0.05270637868676564, -0.023159275194978513]
[0.7612328024684138, 0.18577066283694954]
[0.1124902566781869, 0.14717768641118223]
[-0.22412514708852216, -0.21214477055950987]
[0.024028344912935706, 0.13036066331156526]
[-0.30362382174702285, 0.1297281865041069]
[0.3102035890603025, -0.11383581376012897]
[0.27737922399774995, 0.07493150455433462]
[-0.04389687786301555, 0.008872351341658202]
[-0.030779999535049285, 0.18428313129913765]
[-0.05915935458852428, -0.19818584889348978]
[0.03594509847529004, -0.08443951842477226]
[-0.08408663755134271, 0.4381798189937384]
[-0.2768649436833631, -0.34462277474866754]
[-0.19315156174501602, 0.2423671484736802]
[-0.0515722418734014, -0.2183588508554286]
[0.09518129265390796, -0.20676705914643423]
[-0.025658033989232942, -0.1755735533954481]
[0.22005091806528299, -0.1834965751639539]
[0.0713717244143206, -0.045326721377629386]
[0.06776932313101369, -0.08269552825488613]
[0.11725200325320229, 0.049162596586182605]
[0.27324332269412555, 0.009943919379575394]
[0.0103322439930994, 0.0628146021253535]
[0.08447950663714465, 0.020865728751589874]
[-0.010668699863422004, 0.15794930283228048]
[0.09105413015710084, -0.18773888868063082]
[0.17182970662740105, -0.16573312089499526]
[-0.07028022793678346, -0.12371771237079088]
[0.1119919918438339, -0.13094790177788496]
[-0.039623024899844705, -0.003708423713521647]
[0.15632631135828268, -0.017571232263777325]
[-0.0964290891064905, 0.03167674830567013]
[-0.020694453174968652, 0.05962684553670261]
[-0.03300397310834391, 0.0803391622453703]
[-0.03721453750820913, 0.03139793316360473]
[-0.005379417478810156, 0.010778726804282601]
[0.012714448227790331, 0.0022960891359888325]
[0.06156901557435451, -0.0030903354082212897]
[-0.00032430116377424323, -0.026663474095647677]
[-0.027395437264146838, -0.0924931188883864]
[-0.02044106530059364, 0.04816813940117093]
[-0.011814209276195031, -0.042906765485865916]
[-0.05136106713790156, 0.007743125137887441]
[-0.02311789522227725, 0.00471225279276466]
[-0.0203750134651145, 0.0032953352968405625]
[0.05515688320477352, 0.04975346127609992]
[-0.03818059533441592, -0.051180282829770274]
[0.06836677974653416, -0.024743857996858853]
[0.014974413747418258, -0.0056838799416074615]
[0.05159925661833564, 0.01906022453852585]
[0.05765137088184069, -0.06056614995726295]
[0.01591844765700573, -0.010385018436343874]
[0.04283296381462254, -0.016677194229458125]
[0.0540168329568069, 0.03276757434067101]
[0.03847348690496544, -0.012395895972102333]
[0.01262366439116569, -0.011748821388089636]
[0.02237301477027298, -0.006933218022219884]
[-0.022936870938414122, -0.03564124616944142]
[0.010538782881787223, -0.01143443494275398]
[0.00461329608441452, -0.042887213829494814]
[0.026409379757686147, -0.0452840198735886]
[-0.0490335402203769, 0.02183244915140803]
[-0.035033646362453486, -0.024650394056324854]
[-0.004088919589645079, -0.05134850367821031]
[-0.004070033510862214, 0.00976964738131747]
[0.004664299092606461, -0.013072006839403183]
[-0.021287825880941635, 0.014361135184891016]
[0.021801680995619188, -0.033884105501453377]
[0.04130484159273043, 0.02915811151868275]
[0.04891018116067025, 0.0058247142669688445]
[0.04800399166219349, -0.014586464065148519]
[0.026936298030155292, 0.03907831252367289]
[0.009413957004655527, -0.003738958175244278]
[-0.01868714821216899, 0.0007936591079151789]
[0.007402130324947631, 0.01768167108565244]
[0.023665424227366005, -0.02249082034059935]
[0.005686925382541785, -0.01989831925266028]
[-0.006830720650851163, -0.01454087571090934]
[0.0012264453906869477, 0.0070075322443690635]
[0.03438078345160067, -0.00928647122945403]
[0.0007860661322121043, -0.02773637909781923]
[-0.02251282389966419, 0.026274301810590206]
[-0.0409439139361355, -0.00343320981530984]
[-0.021737643615915098, -0.004474531859757186]
[0.03268961185026803, -0.005773831042852673]
[-0.009924288218361249, -0.01614555257316813]
[0.030620964637356723, -0.023464314000762432]
[0.004704505327448705, -0.011740416667245596]
[0.009195828090332259, 0.002355857632541536]
[4.576336904027478e-05, -0.024783473938793404]
[-0.020941666512838242, 0.009363369993275583]
[0.015783649472004058, 0.017188225210274244]
[-0.042248529614562325, 0.003041514956923619]
[0.00804463821110657, -0.012616946594713685]
[0.0012889130957056683, 0.015060430036749617]
[0.059308193170676926, 0.004163163129444536]
[0.023568383741667254, -0.028214494917629507]
[0.009943483649483942, 0.0022400603134338226]
[0.026122749765872033, -0.019674309937731227]
[-0.015131401612572398, 0.002559780071622386]
[0.024531273518540342, -0.023033861863859806]
[-0.008770208550575032, 0.008179227062203198]
[0.004737593083174563, 0.0029032802747712694]
[0.0038555292760009685, 0.01085484920061297]
[0.008695612054302915, -0.004700482466593658]
