[247.22790556617747, -655.2396870898468]
[-8.06374877898834, 16.224504741329866]
[-5.785222266543429, 14.614627237443216]
[-3.449821678631743, -1.8389355880246328]
[-3.6886000762408386, -0.9129776187798768]
[-0.6278774062559762, 1.6004750244903114]
[-0.03652540542247351, 0.8068140183356078]
[-0.8264246907308035, -0.47320915946301767]
[-0.8979822611992496, -0.06605047634874239]
[-0.4401659440547476, 0.5272435875878569]
[-0.06509093087325368, 0.2617337419554886]
[-0.2101983333805464, -0.24030370991822814]
[-0.38215351980421985, 0.029747765636219725]
[-0.25709480674441565, 0.30224306617126295]
[-0.024601705196431567, 0.006869204748462643]
[-0.11740650097355143, -0.15272990513411955]
[-0.21849919562176723, 0.08119181226687999]
[-0.17248853127505726, 0.1601565998807466]
[-0.01594595669243759, -0.030882958333055655]
[-0.04208073545629576, -0.0677888624546128]
[-0.14967284902966682, 0.06753698511933504]
[-0.14415798972126492, 0.0929951966223177]
[-0.01891274591987724, -0.04662240788901428]
[-0.015380400060344357, -0.04954061947112298]
[-0.09579676717361185, 0.0686917420315305]
[-0.10904638959751156, 0.0590535846323359]
[-0.021153206680812664, -0.044210444711438424]
[-0.006023402819351098, -0.02071447154643824]
[-0.0707682326655712, 0.05911132882140713]
[-0.0886406337302077, 0.026341089680175678]
[-0.019077852869952228, -0.03869747597369333]
[0.005413220742191527, -0.008695865726761731]
[-0.04549962227761295, 0.048207961006605515]
[-0.07297913178933335, 0.016497033254374016]
[-0.022234825694438243, -0.02994162656112387]
[0.004438571476011788, 0.0001436253148345834]
[-0.030967942054036968, 0.038201344530955694]
[-0.05517966337282054, 0.0039050856122662125]
[-0.022326883751256688, -0.025236540449624645]
[0.0041730082802002855, 0.009110427383764552]
[-0.019454711343563247, 0.028382949409151453]
[-0.047210538312349115, -0.0014217677455414801]
[-0.02428234569086385, -0.016532557863168318]
[0.0021811951685162256, 0.011327251471011657]
[-0.011673743562329086, 0.02006908813363184]
[-0.0351932047770796, -0.0047753077518897236]
[-0.025638453083714374, -0.011980324054206903]
[-0.0028721006392845583, 0.014073978653323493]
[-0.005471502363721514, 0.014535860650090493]
[-0.028195216855271737, -0.009049031884370895]
[-0.024987447879598446, -0.0058557134900464325]
[-0.003972349746374171, 0.014752024223365634]
[-0.0020409136134611205, 0.008978033812968356]
[-0.0208357464290696, -0.009305394556101909]
[-0.02457022830472466, -0.00220484989016434]
[-0.0075843247527620505, 0.013403312372767928]
[0.0015784840436015024, 0.0053171389618071885]
[-0.014121952081366906, -0.010407627109309092]
[-0.022545965860693684, 0.0006266576675582058]
[-0.008738080832348949, 0.014090101623080997]
[0.0017998887970156474, 0.0021378321901353026]
[-0.010026273747482328, -0.009628423925917673]
[-0.020438717191514577, 0.0025846120098047543]
[-0.01001936028043815, 0.011776913169848857]
[0.0024948448264980883, -0.0006262150742997741]
[-0.005950575521369572, -0.007857816242067273]
[-0.01821422979963483, 0.004032558955319621]
[-0.011688581871122539, 0.011146818773853706]
[0.0010679003316198532, -0.001717305243882583]
[-0.0036542170930810025, -0.0070208608387174465]
[-0.015279357987767472, 0.004832476867740798]
[-0.011577518281881999, 0.008826153285389271]
[-0.0001249072279692065, -0.0032091370408191544]
[-0.0022862763634543537, -0.004721778471765886]
[-0.012512034000095928, 0.006031870145755652]
[-0.012276313015669893, 0.006502627787384974]
[-0.001536632558267248, -0.003416873809693355]
[-0.00047048840305108364, -0.0034886395429944983]
[-0.00961658904377688, 0.005931837211162083]
[-0.011502517286518188, 0.004615607043199299]
[-0.0030737819356558838, -0.003973643804703997]
[-0.00036227474371752777, -0.0016855236572215215]
[-0.006679463190991886, 0.006394682892378878]
[-0.010717269093325932, 0.002282044592575694]
[-0.004276175140499827, -0.004183030642652685]
[0.0006508666225935045, 0.00030582958727221055]
[-0.00481086232259198, 0.005807240165592198]
[-0.010053531681919914, 0.0008698542021496891]
[-0.005408187556008137, -0.0040734944274366525]
[0.00027581654755959306, 0.0014304979576125199]
[-0.0026847054380203517, 0.005450317903567481]
[-0.008777923668255472, -0.00045727667648076675]
[-0.0064342971723783116, -0.00382561622832589]
[1.3183458891896649e-05, 0.0031175198502051416]
[-0.001779958971499962, 0.004928376382733468]
[-0.008099875258253824, -0.0017919525538485637]
[-0.006710761552973787, -0.0031949389341743295]
[-0.00037754646687288007, 0.0035203824855919996]
[-0.0006535632404547909, 0.004077796032229464]
[-0.0069070015481323965, -0.0022490310548405335]
[-0.007069007311110848, -0.0022463026535984865]
[-0.0011889494267460776, 0.004065384209449574]
[-0.00013192355410009127, 0.0033886642358402774]
[-0.005632198358987761, -0.0031418013437658487]
[-0.006663110529054328, -0.0015814426179145968]
[-0.0015161790346933657, 0.004172388945243188]
[0.00018082764707227916, 0.002256651440924795]
[-0.004646904263643226, -0.0029678903714041027]
[-0.006338325161593605, -0.00040122515447427176]
[-0.0022105076327281203, 0.003926966758108663]
