[534.5454788111406, -1204.7106967500322]
[21.89375054990427, -7.711996839549734]
[8.78729795490824, -4.695674652811249]
[-0.7438223432691586, 1.2247849396686092]
[3.8299862934105704, 0.9667147295497749]
[1.6829030659379987, -0.6646123774127504]
[0.06854974914518142, -1.2952693336140015]
[0.44149427339146996, -0.3960546381219121]
[0.8302945909658916, 0.4390619152986801]
[0.4609290056515647, 0.3647809261411652]
[0.24303228681566225, -0.17217741891387384]
[0.14628808722706355, -0.46659944952071797]
[0.2870833628630405, -0.19602785178423865]
[0.2759254319011646, 0.1369841051849252]
[0.024488276745707083, 0.14822634525724254]
[0.15946320992879848, -0.1150496856486285]
[0.24273407683921278, -0.16028442390922493]
[-0.0014336324904391518, -0.04279618493249515]
[0.025166605995665003, 0.005435724360918215]
[0.22863458548806648, -0.04287831154760635]
[0.0583992293582547, -0.036286066060188915]
[-0.0418178452973752, -0.009782068812793199]
[0.13226866619255873, -0.00793674687017365]
[0.10787256204871287, -0.02569107734871512]
[-0.010951986231882094, -0.05964200888025317]
[0.0462494802997071, -0.05117459635970878]
[0.08181307977607588, 0.02059950579394254]
[0.032714475264073783, 0.048272727737256105]
[0.0369807595282694, -0.024773745121499324]
[0.043520751785093736, -0.0808420230980369]
[0.031649589702942516, -0.03307912198346408]
[0.03298138691061325, 0.030236835397231765]
[0.022983408283106854, 0.025105467467126275]
[0.04043419885624022, -0.02289736658718411]
[0.044799848437813594, -0.03784053417726785]
[-0.002696530444143974, -0.01989238899180279]
[0.009088412896515408, -0.0004647608820160798]
[0.06275354200230154, 0.0032884024728172534]
[0.021148093920597688, -0.004730856987009702]
[-0.013673968014422222, -0.01564581508581142]
[0.03597780277466711, -0.010829248666733626]
[0.03464314780214384, -0.0010181653520957568]
[-0.001551138812668107, -0.012703322865721844]
[0.020327471887547688, -0.019313228671620664]
[0.02859195958038896, 0.005180860277716803]
[0.0034451120950955705, 0.016331829760574124]
[0.014458192140262227, -0.012474337737661934]
[0.02636235885248439, -0.03024429380093263]
[0.009693858396197963, -0.008469276057487818]
[0.006113576547168265, 0.011429942732614329]
[0.013079773762909142, 0.006941686751342324]
[0.019549299331866443, -0.007582747400743273]
[0.017620781559383403, -0.016120313372243622]
[-0.0002731746081616748, -0.013399006500450561]
[0.0028884876711110508, 0.0008941705809650813]
[0.02641538266497001, 0.008310692817423693]
[0.013319441979994906, -0.00278532872400028]
[-0.004545766641434357, -0.013578735584166779]
[0.01421476507848407, -0.005905973325930347]
[0.015197459053593043, 0.0029154871115881775]
[-4.2066352089475956e-05, -0.005110435937183411]
[0.012960132869272556, -0.009611225100901066]
[0.01593462566669679, 0.0026381879940826636]
[-0.0025646161468100837, 0.006023575766135103]
[0.00535115929047425, -0.008121131730217446]
[0.018741252148242182, -0.013237962687515648]
[0.006245040183945116, -0.002517347782099222]
[-0.00031715894258965704, 0.003943907921174272]
[0.007338153285896709, 0.00287671292835201]
[0.011506165652529285, -0.002085317566564271]
[0.009188526409424469, -0.010116320205892038]
[0.001602700575296545, -0.01018724553845507]
[0.001659615101784917, 0.002848666082826412]
[0.012068581716997429, 0.008189342430870106]
[0.00839671974708267, -0.003597541079336075]
[0.00017976616240064636, -0.010906070377926902]
[0.007816782561942848, -0.002843191624294583]
[0.006868204523883925, 0.0030172930732628167]
[-0.0007071467253401131, -0.0023320817286931472]
[0.009631687685988766, -0.004716479657597361]
[0.01144518429910768, 0.0005796942134530525]
[-0.0036679556241849265, 0.0008782025545830408]
[0.0011855483286467017, -0.004444529411581577]
[0.013654675090728041, -0.005046846325318821]
[0.004916256974442312, -0.001713279734227413]
[-0.001482550698972851, 3.039947387328823e-05]
[0.005052568386416212, 0.0021671193369792174]
[0.006782049378998789, 0.00027798000072554174]
[0.0044420589987597126, -0.007555440277572156]
[0.003203602560378549, -0.00767885702585458]
[0.002482378877612934, 0.003384692632993236]
[0.004789377905773051, 0.006443545620181013]
[0.0046464851947529695, -0.0034106488533146573]
[0.002769925013191399, -0.007920395060314833]
[0.005498438470773026, -0.0019838660632107707]
[0.002917147976750911, 0.001812922755315416]
[-0.0009531963213089689, -0.000215361667869729]
[0.0071305896723696804, -0.001611424459273536]
[0.008434780661923824, -0.0013704511574275102]
[-0.0027930981161914947, -0.0019491530525725942]
[3.5152353817735627e-05, -0.0016836834345118623]
[0.009416941571613435, -0.0008564449043308997]
[0.0033900264027191263, -0.0017392475731146106]
[-0.0008259891729718305, -0.0016907236297996064]
[0.004448420573872625, 0.001567672259161934]
[0.0036552203987370024, 0.0007955405658159886]
[0.0014294246546318057, -0.005320878577126542]
[0.004079868769657935, -0.005153429541083221]
[0.0032655247953252697, 0.002588637351653489]
[0.0011681816659985245, 0.004117017292165848]
[0.0024718582844016623, -0.0024088611181351527]
[0.0036409870266777937, -0.005134611301570197]
[0.0038740800237625113, -0.001991351992150975]
[0.0014177260442327366, 0.000588791672982425]
[-0.0003224449441061594, 0.0010959389664675356]
[0.004780120458665937, 4.5155751174696945e-05]
[0.005733857368699802, -0.0023940722926952818]
[-0.0012626674932359194, -0.002999542036052183]
[0.00018614677896401643, -0.00030072935480279783]
[0.006071812667823195, 0.000839020657546985]
[0.002124025340702218, -0.0013647788094157676]
[-1.1566892843539733e-05, -0.0019570162617625897]
[0.003994932404707718, 0.000617545810726039]
[0.0019657137399560765, 0.0003929404768614475]
[2.6478237646343494e-06, -0.0032534860056432358]
[0.003965092906041967, -0.0029617602019698097]
[0.0032863626541157487, 0.0014921679884007943]
[-0.00020223728150936537, 0.0021466525973217188]
