[111.47430509059257, -966.2908587288027]
[-4.3677680888907275, 0.992363767654993]
[-3.8253850498222732, 0.7554915588242608]
[0.0007178969328514029, 0.2829087246472404]
[0.13425217141759865, 0.3173770025676417]
[-0.4630975172884746, 0.13085250216121302]
[-0.4411534967015598, 0.08463530101661121]
[0.008422040219623506, 0.06101665117849775]
[0.02394111974278179, 0.08898684577408744]
[-0.16488241870099785, 0.05217404598998421]
[-0.15934351311246076, 0.02607006841556192]
[0.004671231541155008, 0.023349298670845453]
[0.008692957156634318, 0.04326871318737169]
[-0.08347941324821306, 0.029163150045689257]
[-0.08102653893373457, 0.010887342542041267]
[0.0026794102922914065, 0.011103139668849238]
[0.0040378602475016345, 0.02633008578264917]
[-0.050107464336967666, 0.019168718908650906]
[-0.04868304147443325, 0.005116232125969233]
[0.001584393934245129, 0.0058389181387834554]
[0.002059282160300935, 0.01808606644805799]
[-0.033247067046012546, 0.013842898548072968]
[-0.032283701333764014, 0.0024507719889204083]
[0.0009283475511334127, 0.0031938041560772845]
[0.0010488727379336371, 0.01339352499207358]
[-0.023560275914981332, 0.010624251010844521]
[-0.022845121454675876, 0.0010698543265119653]
[0.0005065182247430133, 0.0017278131031837063]
[0.00046915269633429624, 0.01043530153334693]
[-0.01748675635657193, 0.008505486197056822]
[-0.01692281297816578, 0.00030144766817308266]
[0.0002200819495799533, 0.0008606372060215861]
[0.00010890120294404504, 0.008431156524500771]
[-0.013429705044838869, 0.0070216801403577556]
[-0.01296637853105409, -0.00014496969610888755]
[1.7212361051899272e-05, 0.00032471062923100646]
[-0.00012817890337402105, 0.006998682407219015]
[-0.010586275306504689, 0.005932626803716978]
[-0.010194427043163756, -0.00040976183759955376]
[-0.00013126126141116412, -1.5951352160037402e-05]
[-0.00029093846555072744, 0.005931528523298368]
[-0.008516937488714404, 0.005103347519461732]
[-0.008178467063940431, -0.0005665748164211948]
[-0.00024274507302057824, -0.0002357541516166961]
[-0.00040624283370260805, 0.005109877788997075]
[-0.006964633509324969, 0.0044528914807142606]
[-0.006667609055579504, -0.0006565831228693142]
[-0.0003281401108857773, -0.00037783525715351374]
[-0.0004898319100745674, 0.004460019935286219]
[-0.005770868418434105, 0.003930119307869351]
[-0.005507040074196112, -0.0007039937478028335]
[-0.0003945557468554295, -0.00046839610772053675]
